Timestamp,Temperatures,SetPoints
0,262.0,262.0
1,262.0,262.0
2,262.0,262.0
3,262.0,262.0
4,262.0,262.0
5,262.0,262.0
6,262.0,262.0
7,262.0,262.0
8,262.0,262.0
9,262.0,262.0
10,262.0,262.0
11,262.0,262.0
12,262.0,262.0
13,262.0,262.0
14,262.0,262.0
15,262.0,262.0
16,262.0,262.0
17,262.0,262.0
18,262.0,262.0
19,262.0,262.0
20,262.0,262.0
21,262.0,262.0
22,262.0,262.0
23,262.0,262.0
24,262.0,262.0
25,262.0,262.0
26,262.0,262.0
27,262.0,262.0
28,262.0,262.0
29,262.0,262.0
30,262.0,262.0
31,262.0,262.0
32,261.9,262.0
33,261.9,262.0
34,261.9,262.0
35,261.9,262.0
36,261.9,262.0
37,261.9,262.0
38,261.9,262.0
39,261.9,262.0
40,261.9,262.0
41,261.9,262.0
42,261.9,262.0
43,261.9,262.0
44,261.9,262.0
45,261.9,262.0
46,261.9,262.0
47,261.9,262.0
48,261.9,262.0
49,261.9,262.0
50,261.9,262.0
51,261.9,262.0
52,261.9,262.0
53,261.9,262.0
54,261.9,262.0
55,261.9,262.0
56,261.9,262.0
57,261.9,262.0
58,261.9,262.0
59,261.9,262.0
60,261.9,262.0
61,261.9,262.0
62,261.9,262.0
63,261.9,262.0
64,261.9,262.0
65,261.9,262.0
66,261.9,262.0
67,261.9,262.0
68,261.9,262.0
69,261.9,262.0
70,261.9,262.0
71,261.9,262.0
72,261.9,262.0
73,261.9,262.0
74,261.9,262.0
75,261.9,262.0
76,261.9,262.0
77,261.9,262.0
78,261.9,262.0
79,261.9,262.0
80,261.9,262.0
81,261.9,262.0
82,261.9,262.0
83,261.9,262.0
84,261.9,262.0
85,261.9,262.0
86,261.9,262.0
87,261.9,262.0
88,261.9,262.0
89,261.9,262.0
90,261.9,262.0
91,261.9,262.0
92,261.9,262.0
93,261.9,262.0
94,261.9,262.0
95,261.9,262.0
96,261.9,262.0
97,261.9,262.0
98,261.9,262.0
99,261.9,262.0
100,261.8,262.0
101,261.8,262.0
102,261.8,262.0
103,261.8,262.0
104,261.8,262.0
105,261.8,262.0
106,261.8,262.0
107,261.8,262.0
108,261.8,262.0
109,261.8,262.0
110,261.8,262.0
111,261.8,262.0
112,261.8,262.0
113,261.8,262.0
114,261.8,262.0
115,261.8,262.0
116,261.8,262.0
117,261.8,262.0
118,261.8,262.0
119,261.8,262.0
120,261.8,262.0
121,261.8,262.0
122,261.8,262.0
123,261.8,262.0
124,261.8,262.0
125,261.8,262.0
126,261.8,262.0
127,261.8,262.0
128,261.8,262.0
129,261.8,262.0
130,261.8,262.0
131,261.8,262.0
132,261.8,262.0
133,261.8,262.0
134,261.8,262.0
135,261.8,262.0
136,261.8,262.0
137,261.8,262.0
138,261.8,262.0
139,261.8,262.0
140,261.8,262.0
141,261.8,262.0
142,261.8,262.0
143,261.8,262.0
144,261.8,262.0
145,261.8,262.0
146,261.8,262.0
147,261.8,262.0
148,261.8,262.0
149,261.8,262.0
150,261.8,262.0
151,261.8,262.0
152,261.8,262.0
153,261.8,262.0
154,261.8,262.0
155,261.8,262.0
156,261.8,262.0
157,261.8,262.0
158,261.8,262.0
159,261.8,262.0
160,261.8,262.0
161,261.8,262.0
162,261.8,262.0
163,261.8,262.0
164,261.8,262.0
165,261.8,262.0
166,261.8,262.0
167,261.8,262.0
168,261.8,262.0
